Nâng cấp bắt đầu: 11:35:58_16-05-2016
11:35:58_16-05-2016 | 127.0.0.1 | Cập nhật CSDL lên phiên bản 4.0.26 | SUCCESS
11:36:03_16-05-2016 | 127.0.0.1 | Cập nhật CSDL lên phiên bản 4.0.27 | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file CHANGELOG.txt | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file admin/authors/config.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file admin/authors/del.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file admin/authors/module.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file admin/authors/suspend.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file admin/database/setting.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file admin/extensions/detail.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file admin/extensions/functions.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file admin/extensions/install.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file admin/extensions/main.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file admin/extensions/manage.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file admin/extensions/update.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file admin/extensions/upload.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file admin/index.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file admin/language/main.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file admin/language/read.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file admin/language/write.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file admin/modules/setup.php | SUCCESS
